date,wasserstein_distance,beta0,beta1,beta2,lp2_distance
2018-09-27 00:00:00,0.3421156406402588,1,0,0,0.0
2018-09-28 00:00:00,0.4122367799282074,1,0,0,0.0
2018-10-01 00:00:00,0.36771196126937866,1,0,0,0.0
2018-10-02 00:00:00,0.6172427535057068,2,0,0,0.5
2018-10-03 00:00:00,0.6169835329055786,2,0,0,0.5
2018-10-04 00:00:00,0.6160293221473694,2,0,0,0.5
2018-10-05 00:00:00,0.7480348944664001,2,0,0,0.5
2018-10-08 00:00:00,1.1058359444141388,3,0,0,2.0
2018-10-09 00:00:00,1.2212872803211212,4,0,0,4.5
2018-10-10 00:00:00,1.337640792131424,4,0,0,4.5
2018-10-11 00:00:00,1.293677181005478,4,0,0,4.5
2018-10-12 00:00:00,1.39729243516922,4,0,0,4.5
2018-10-15 00:00:00,1.2943454384803772,4,0,0,4.5
2018-10-16 00:00:00,1.2848477363586426,4,0,0,4.5
2018-10-17 00:00:00,1.6331612169742584,4,0,0,4.5
2018-10-18 00:00:00,1.7273836135864258,4,0,0,4.5
2018-10-19 00:00:00,1.8240475952625275,4,0,0,4.5
2018-10-22 00:00:00,2.1042210459709167,6,0,0,12.5
2018-10-23 00:00:00,2.5058083534240723,7,0,0,18.0
2018-10-24 00:00:00,2.5969681441783905,8,0,0,24.5
2018-10-25 00:00:00,2.710595726966858,8,0,0,24.5
2018-10-26 00:00:00,2.8273876011371613,9,0,0,32.0
2018-10-29 00:00:00,3.0118537843227386,10,0,0,40.5
2018-10-30 00:00:00,3.0381758511066437,10,0,0,40.5
2018-10-31 00:00:00,3.1165167093276978,13,0,0,60.5
2018-11-01 00:00:00,3.1819364726543427,13,0,0,60.5
2018-11-02 00:00:00,3.2279146313667297,14,0,0,72.0
2018-11-05 00:00:00,3.2472861409187317,14,0,0,72.0
2018-11-06 00:00:00,2.818824291229248,13,0,0,50.0
2018-11-07 00:00:00,2.987590968608856,15,0,0,60.5
2018-11-08 00:00:00,3.020485609769821,16,0,0,72.0
2018-11-09 00:00:00,2.9846246242523193,14,0,0,50.0
2018-11-12 00:00:00,3.0026745796203613,16,0,0,72.0
2018-11-13 00:00:00,3.163804054260254,16,0,0,72.0
2018-11-14 00:00:00,3.2105917036533356,16,0,0,72.0
2018-11-15 00:00:00,2.959251642227173,16,0,0,72.0
2018-11-16 00:00:00,3.0058457255363464,16,0,0,72.0
2018-11-19 00:00:00,2.4578248858451843,15,0,0,60.5
2018-11-20 00:00:00,1.6898835003376007,13,0,0,24.5
2018-11-21 00:00:00,0.8852416574954987,12,0,0,12.5
2018-11-23 00:00:00,0.7762225866317749,10,0,0,2.0
2018-11-26 00:00:00,0.7004118263721466,9,0,0,0.5
2018-11-27 00:00:00,0.5894571840763092,8,0,0,0.5
2018-11-28 00:00:00,0.6550666987895966,7,1,0,5.0
2018-11-29 00:00:00,0.7304872274398804,6,1,0,8.5
2018-11-30 00:00:00,0.9014635980129242,7,1,0,18.5
2018-12-03 00:00:00,1.0235638916492462,7,1,0,18.5
2018-12-04 00:00:00,1.1976168751716614,6,1,0,32.5
2018-12-06 00:00:00,1.3273660838603973,6,1,0,32.5
2018-12-07 00:00:00,1.424822360277176,6,1,0,25.0
2018-12-10 00:00:00,1.8749193847179413,6,0,0,40.5
2018-12-11 00:00:00,1.9486231207847595,6,0,0,50.0
2018-12-12 00:00:00,2.006595402956009,6,0,0,32.0
2018-12-13 00:00:00,2.2552666664123535,6,0,0,50.0
2018-12-14 00:00:00,2.534717410802841,5,0,0,60.5
2018-12-17 00:00:00,2.6624356508255005,5,1,0,61.0
2018-12-18 00:00:00,2.7197672724723816,4,1,0,72.5
2018-12-19 00:00:00,2.6853745579719543,3,1,0,85.0
2018-12-20 00:00:00,2.094303011894226,4,0,0,60.5
2018-12-21 00:00:00,1.313170462846756,5,0,0,32.0
2018-12-24 00:00:00,0.9941829144954681,5,0,0,24.5
2018-12-26 00:00:00,1.2426460683345795,5,1,0,13.0
2018-12-27 00:00:00,1.2145298719406128,5,1,0,8.5
2018-12-28 00:00:00,0.9934985637664795,6,1,0,2.5
2018-12-31 00:00:00,0.8258976638317108,7,1,0,0.0
2019-01-02 00:00:00,0.5631880462169647,6,1,0,0.0
2019-01-03 00:00:00,0.6799468696117401,6,1,0,0.5
